,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1242,-0.8486767450171173,RL,0.7885846568593202,-0.039526745332963444,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,0.6796415258509628,0.41653157441954947,1.191954388017951,1.0950805695132368,Hip,CompShg,VinylSd,VinylSd,Stone,-0.5683010287219787,Gd,TA,PConc,Gd,TA,Av,Unf,-0.9930841112429515,Unf,-0.2723796073610533,2.37016278893417,1.4458949053768848,GasA,Ex,Y,SBrkr,1.3891674960471574,-0.7799744713521484,-0.11884272262869637,0.3559683121796539,-0.8365911623435678,-0.21707238158772438,0.8165264239662516,-0.741092498257792,0.17527784983274358,-0.2247332874877486,Gd,0.3013604379894431,Typ,-0.9062499999999952,,Attchd,0.31360231652345016,RFn,1.5140234294427224,2.102926801872156,TA,TA,Y,-0.7382918154432047,0.16779279648979575,-0.38751645641026716,-0.1282886678826644,-0.2738002835875038,,,,,-0.15301475141116055,-0.05963735203055894,-0.6633684725770017,New,Partial,0.8761831088826965
1,1233,0.7856388574917743,RL,0.38947227894251096,-0.040289212725658476,Pave,,Reg,Lvl,AllPub,FR2,Gtl,mes,Norm,Norm,Duplex,1Story,-1.4072822996893524,-0.4422964140743664,-0.2521386432613682,-1.0219716978792779,Gable,CompShg,HdBoard,HdBoard,,-0.5683010287219787,TA,TA,Slab,,,,,-0.9930841112429515,,-0.2723796073610533,-1.3107928961269661,-2.447773315039438,GasA,TA,Y,SBrkr,0.17835865239493798,-0.7799744713521484,-0.11884272262869637,-0.5182817705500143,-0.8365911623435678,-0.21707238158772438,0.8165264239662516,-0.741092498257792,-1.0678274681299766,4.26993246226722,TA,-0.3074485276457954,Typ,-0.9062499999999952,,CarPort,0.217943895339691,Unf,0.2470582165199422,-0.0974189672538024,TA,TA,Y,-0.7382918154432047,-0.6764476889934531,-0.38751645641026716,-0.1282886678826644,-0.2738002835875038,,,,,-0.15301475141116055,-1.191992137420916,-0.6633684725770017,WD,Normal,-0.9523566239258416
2,1401,-0.14825577251330663,RM,-0.2245467640064264,-0.458774887401989,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,-0.0159997493291422,1.2753595629134653,-1.311140199532869,-1.5865189691839485,Gable,CompShg,WdShing,Wd Shng,,-0.5683010287219787,TA,TA,BrkTil,TA,TA,No,Unf,-0.9930841112429515,Unf,-0.2723796073610533,0.567823918865751,-0.46059628366059235,GasA,TA,Y,SBrkr,-0.5351072038646494,-0.3002711909032786,-0.11884272262869637,-0.6423688790664834,-0.8365911623435678,-0.21707238158772438,-0.9859601631557163,-0.741092498257792,0.17527784983274358,-0.2247332874877486,TA,-0.9162574932810338,Typ,0.6562499999999967,Gd,BuiltIn,0.14779438647160098,RFn,-1.019906996402838,-1.2333698318025694,TA,TA,Y,-0.7382918154432047,-0.6764476889934531,1.3156520527114972,-0.1282886678826644,-0.2738002835875038,,,,,-0.15301475141116055,0.3178142430995601,0.06721354567968714,WD,Normal,-0.7252367346410947
3,1377,-0.6152030875158472,RL,-0.16314485971153267,-0.426969104735282,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,-0.0159997493291422,-0.4422964140743664,-1.2790492432822176,-1.5865189691839485,Gable,CompShg,Wd Sdng,Wd Sdng,,-0.5683010287219787,TA,TA,BrkTil,Gd,TA,Mn,Rec,-0.08510852416958056,Unf,-0.2723796073610533,-0.4739148718146652,-0.6772954030916961,GasA,TA,N,SBrkr,-0.9517296016804667,-0.7799744713521484,-0.11884272262869637,-1.334248514431038,-0.8365911623435678,-0.21707238158772438,-0.9859601631557163,-0.741092498257792,-1.0678274681299766,-0.2247332874877486,TA,-1.5250664589162723,Typ,-0.9062499999999952,,Detchd,0.13929141569971126,Unf,-1.019906996402838,-1.4480377117172971,Fa,TA,Y,-0.7382918154432047,1.4492292476697268,-0.38751645641026716,-0.1282886678826644,-0.2738002835875038,,,,,-0.15301475141116055,-0.814540542290797,0.06721354567968714,WD,Normal,-1.087131063721186
4,208,-0.8486767450171173,RL,-1.7595943713787698,0.24846808127927444,Pave,,IR1,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,-1.4072822996893524,-0.4422964140743664,-0.3163205557626713,-1.1160629097633896,Gable,CompShg,Wd Sdng,Wd Sdng,,-0.5683010287219787,TA,TA,PConc,TA,TA,No,ALQ,-0.0023503326394556153,Rec,1.7933013228350438,-0.49352920050948473,0.08806744426071306,GasA,TA,Y,SBrkr,-0.14452370591232053,-0.7799744713521484,-0.11884272262869637,-0.7514151259445926,1.1135047871752382,-0.21707238158772438,-0.9859601631557163,-0.741092498257792,0.17527784983274358,-0.2247332874877486,TA,-0.3074485276457954,Typ,0.6562499999999967,Po,Attchd,0.21369240995374617,RFn,-1.019906996402838,-0.7682560919873263,TA,TA,Y,2.2170399146389697,-0.6764476889934531,-0.38751645641026716,-0.1282886678826644,-0.2738002835875038,,,GdWo,,-0.15301475141116055,-0.814540542290797,0.06721354567968714,WD,Normal,-0.4631753239279252
5,1392,0.7856388574917743,RL,0.23596751820527662,-0.1381028868171069,Pave,,Reg,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,Duplex,1Story,-0.7116410245092473,-0.4422964140743664,-0.09168386200811052,-0.7867436681689984,Gable,CompShg,Plywood,Plywood,,-0.5683010287219787,TA,TA,CBlock,TA,TA,No,Unf,-0.9930841112429515,Unf,-0.2723796073610533,2.141328954161275,1.2038373783527794,GasA,TA,Y,SBrkr,1.1157590474805272,-0.7799744713521484,-0.11884272262869637,0.15855700317618043,-0.8365911623435678,-0.21707238158772438,0.8165264239662516,-0.741092498257792,1.418383167795464,4.26993246226722,TA,0.9101694036246816,Mod,-0.9062499999999952,,Detchd,0.22857260880455313,Unf,1.5140234294427224,1.37842270715995,TA,TA,Y,-0.7382918154432047,1.615062200175365,-0.38751645641026716,-0.1282886678826644,-0.2738002835875038,,,,,-0.15301475141116055,-0.814540542290797,0.797795563936376,WD,Normal,-0.6753202754576338
6,980,-0.8486767450171173,RL,0.6964818004169796,-0.15204514771210179,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,-0.7116410245092473,0.41653157441954947,-0.2200476870107167,-0.974926091937222,Gable,CompShg,VinylSd,VinylSd,,-0.5683010287219787,TA,TA,PConc,TA,TA,No,Rec,0.5462182512173727,Unf,-0.2723796073610533,-0.2864890642863894,0.13647894966553412,GasA,TA,Y,SBrkr,-0.08984201619899448,-0.7799744713521484,-0.11884272262869637,-0.7119328641438979,1.1135047871752382,-0.21707238158772438,-0.9859601631557163,-0.741092498257792,0.17527784983274358,-0.2247332874877486,TA,-0.9162574932810338,Typ,-0.9062499999999952,,Detchd,0.22006963803266344,Unf,0.2470582165199422,-0.01691851228577954,TA,TA,Y,-0.7382918154432047,0.5296101474111881,-0.38751645641026716,-0.1282886678826644,-0.2738002835875038,,,MnPrv,,-0.15301475141116055,-0.05963735203055894,0.797795563936376,WD,Normal,-0.48813355351965565
7,484,1.4860598299955852,RM,-0.77716390266047,-0.6221607572652103,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,Twnhs,1Story,-0.0159997493291422,-0.4422964140743664,0.9031357817620873,0.6716701160347339,Hip,CompShg,VinylSd,VinylSd,BrkFace,0.044941134756281864,TA,TA,PConc,Ex,TA,No,GLQ,1.127890111686251,Unf,-0.2723796073610533,-0.6155739123883619,0.3554833788778199,GasA,Ex,Y,SBrkr,0.15752753250414708,-0.7799744713521484,-0.11884272262869637,-0.5333226321883743,1.1135047871752382,-0.21707238158772438,0.8165264239662516,-0.741092498257792,-1.0678274681299766,-0.2247332874877486,TA,-0.9162574932810338,Typ,-0.9062499999999952,,Attchd,0.2944706322866983,Unf,0.2470582165199422,-0.36575381714721195,TA,TA,Y,-0.7382918154432047,1.2080176803887985,-0.38751645641026716,-0.1282886678826644,-0.2738002835875038,,,,,-0.15301475141116055,-0.4370889471606779,-1.3939504908336906,WD,Normal,-0.1761556836230253
8,392,0.08521788498796361,RL,0.42017323108995785,0.21753368991850458,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,-0.0159997493291422,-0.4422964140743664,0.9994086505140419,0.8598525398029574,Gable,CompShg,VinylSd,VinylSd,,-0.5683010287219787,TA,TA,PConc,Ex,TA,No,ALQ,0.6384345217795119,Unf,-0.2723796073610533,-1.0623447326592517,-0.5943042509691457,GasA,Ex,Y,SBrkr,-0.9152751418715828,1.88837502614469,-0.11884272262869637,0.8673576078838899,1.1135047871752382,-0.21707238158772438,0.8165264239662516,1.2727458122253386,0.17527784983274358,-0.2247332874877486,Gd,0.3013604379894431,Typ,0.6562499999999967,TA,BuiltIn,0.30084786036561556,Fin,0.2470582165199422,0.3408612875720998,TA,TA,Y,0.30231794867023704,2.2180911183776857,-0.38751645641026716,-0.1282886678826644,-0.2738002835875038,,,,,-0.15301475141116055,-0.05963735203055894,0.797795563936376,WD,Normal,0.46027917096610066
9,730,-0.6152030875158472,RM,-0.16314485971153267,-0.43263314822387366,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,-1.4072822996893524,-0.4422964140743664,-1.4395040245354753,-1.5865189691839485,Gable,CompShg,MetalSd,MetalSd,,-0.5683010287219787,TA,TA,CBlock,TA,TA,No,BLQ,-0.6336771080264089,Unf,-0.2723796073610533,0.05785137280044269,-0.6496316857175126,GasA,TA,Y,FuseA,-0.800703982472233,-0.7799744713521484,7.053559648927162,-0.5483634938267341,-0.8365911623435678,-0.21707238158772438,-0.9859601631557163,-0.741092498257792,-1.0678274681299766,-0.2247332874877486,TA,-0.9162574932810338,Typ,-0.9062499999999952,,Detchd,0.217943895339691,Unf,0.2470582165199422,0.24694409010940652,TA,TA,Y,-0.7382918154432047,-0.32970606102711875,1.3156520527114972,-0.1282886678826644,-0.2738002835875038,,,,,-0.15301475141116055,-1.946895327681154,0.797795563936376,WD,Normal,-0.9373816861708034
