,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1242,0.0,RL,0.5424836601307189,0.039163953444856105,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,0.6666666666666666,0.625,0.9769230769230769,0.95,Hip,CompShg,VinylSd,VinylSd,Stone,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,0.784486762656758,0.5268247036805989,GasA,Ex,Y,SBrkr,0.46821008984105045,0.0,0.0,0.31206817134960846,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,Gd,0.5,Typ,0.0,,Attchd,0.9985074626865672,RFn,0.75,0.6863309352517986,TA,TA,Y,0.0,0.10237659963436929,0.0,0.0,0.0,0.0,0.0,,,0.0,0.45454545454545453,0.25,New,Partial,0.3695991643908347
1,1233,0.4117647058823529,RL,0.45751633986928103,0.03913120766438382,Pave,,Reg,Lvl,AllPub,FR2,Gtl,mes,Norm,Norm,Duplex,1Story,0.3333333333333333,0.5,0.6307692307692307,0.2,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,0.3075328265376641,0.0,0.0,0.20497466605251036,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.5,TA,0.4,Typ,0.0,,CarPort,0.9761194029850746,Unf,0.5,0.33237410071942447,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.18181818181818182,0.25,WD,Normal,0.11536299375722223
2,1401,0.17647058823529413,RM,0.32679738562091504,0.02115845215373676,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,0.5555555555555556,0.75,0.3769230769230769,0.0,Gable,CompShg,WdShing,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,0.4003715745471435,0.2688708671241422,GasA,TA,Y,SBrkr,0.2128541810642709,0.11441144114411442,0.0,0.18977429755872868,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,TA,0.3,Typ,0.3333333333333333,Gd,BuiltIn,0.9597014925373134,RFn,0.25,0.14964028776978416,TA,TA,Y,0.0,0.0,0.29015544041450775,0.0,0.0,0.0,0.0,,,0.0,0.5454545454545454,0.5,WD,Normal,0.14694124709809733
3,1377,0.058823529411764705,RL,0.33986928104575165,0.022524418996295047,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,0.5555555555555556,0.5,0.38461538461538464,0.0,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,Gd,TA,Mn,Rec,0.16991150442477876,Unf,0.0,0.17835578262888993,0.2395508421709295,GasA,TA,N,SBrkr,0.1575673807878369,0.0,0.0,0.1050207277752188,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,TA,0.2,Typ,0.0,,Detchd,0.9577114427860697,Unf,0.25,0.11510791366906475,Fa,TA,Y,0.0,0.2577696526508227,0.0,0.0,0.0,0.0,0.0,,,0.0,0.2727272727272727,0.5,WD,Normal,0.09662425001648316
4,208,0.0,RL,0.0,0.051532502526103065,Pave,,IR1,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,0.3333333333333333,0.5,0.6153846153846154,0.16666666666666666,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,ALQ,0.18539823008849557,Rec,0.20759837177747625,0.17417556897352532,0.3431066749844042,GasA,TA,Y,SBrkr,0.2646855563234278,0.0,0.0,0.1764163979732842,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.0,TA,0.4,Typ,0.3333333333333333,Po,Attchd,0.9751243781094527,RFn,0.25,0.22446043165467625,TA,TA,Y,0.48233695652173914,0.0,0.0,0.0,0.0,0.0,0.0,GdWo,,0.0,0.2727272727272727,0.5,WD,Normal,0.1833776932606455
5,1392,0.4117647058823529,RL,0.42483660130718953,0.034930391826653195,Pave,,Reg,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,Duplex,1Story,0.4444444444444444,0.5,0.6692307692307692,0.2833333333333333,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,0.7357176033441709,0.4940736119775421,GasA,TA,Y,SBrkr,0.43192812715964063,0.0,0.0,0.2878857669276831,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.5,TA,0.6,Mod,0.0,,Detchd,0.9786069651741294,Unf,0.75,0.5697841726618705,TA,TA,Y,0.0,0.27787934186471663,0.0,0.0,0.0,0.0,0.0,,,0.0,0.2727272727272727,0.75,WD,Normal,0.15388152255763032
6,980,0.0,RL,0.5228758169934641,0.034331611840874215,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,0.4444444444444444,0.625,0.6384615384615384,0.21666666666666667,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,Rec,0.28805309734513274,Unf,0.0,0.21830004644681839,0.3496568933250156,GasA,TA,Y,SBrkr,0.27194194885970974,0.0,0.0,0.18125287885766928,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.0,TA,0.3,Typ,0.0,,Detchd,0.9766169154228855,Unf,0.5,0.34532374100719426,TA,TA,Y,0.0,0.14625228519195613,0.0,0.0,0.0,0.0,0.0,MnPrv,,0.0,0.45454545454545453,0.75,WD,Normal,0.17990755553087903
7,484,0.5882352941176471,RM,0.20915032679738563,0.014141499195389394,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,Twnhs,1Story,0.5555555555555556,0.5,0.9076923076923077,0.8,Hip,CompShg,VinylSd,VinylSd,BrkFace,0.0725,TA,TA,PConc,Ex,TA,No,GLQ,0.3969026548672566,Unf,0.0,0.14816535067347886,0.3792888334373051,GasA,Ex,Y,SBrkr,0.3047684865238424,0.0,0.0,0.2031321971441732,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,TA,0.3,Typ,0.0,,Attchd,0.9940298507462687,Unf,0.5,0.2892086330935252,TA,TA,Y,0.0,0.22851919561243145,0.0,0.0,0.0,0.0,0.0,,,0.0,0.36363636363636365,0.0,WD,Normal,0.2232842771529602
8,392,0.23529411764705882,RL,0.46405228758169936,0.050203959432655966,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,0.5555555555555556,0.5,0.9307692307692308,0.8666666666666667,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Ex,TA,No,ALQ,0.3053097345132743,Unf,0.0,0.05294937296795169,0.25077978789769184,GasA,Ex,Y,SBrkr,0.16240497581202487,0.6364136413641364,0.0,0.3747121142330723,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,0.0,Gd,0.5,Typ,0.3333333333333333,TA,BuiltIn,0.9955223880597015,Fin,0.5,0.4028776978417266,TA,TA,Y,0.16983695652173914,0.3510054844606947,0.0,0.0,0.0,0.0,0.0,,,0.0,0.45454545454545453,0.75,WD,Normal,0.3117727892620058
9,730,0.058823529411764705,RM,0.33986928104575165,0.02228116462707234,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,0.3333333333333333,0.5,0.34615384615384615,0.0,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,0.06725663716814159,Unf,0.0,0.2916860195076637,0.24329382407985028,GasA,TA,Y,FuseA,0.17760884588804424,0.0,0.6293706293706294,0.20128972823583602,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,TA,0.3,Typ,0.0,,Detchd,0.9761194029850746,Unf,0.5,0.3877697841726619,TA,TA,Y,0.0,0.04204753199268738,0.29015544041450775,0.0,0.0,0.0,0.0,,,0.0,0.0,0.75,WD,Normal,0.11744507639508212
